data,longitude,latitude,magnitude,regiao
2022-02-24T23:48:48.359Z,-46632,-21868,2.7,Pocos de Caldas/MG
2022-02-22T02:03:37.703Z,-50173,-13580,2.8,Nova Crixas/GO
2022-02-20T15:07:35.56Z,-47657,-20328,2.1,Jeriquara/SP
2022-02-20T08:25:20.630Z,-50279,-10463,3.3,Santa Terezinha/MT
2022-02-20T00:33:57.722Z,-39403,-4594,2.4,Canindé/CE
2022-02-19T05:10:05.255Z,-44843,-20122,2.5,Divinopolis/MG
2022-02-19T05:09:15.478Z,-39862,-9842,2.3,Uaua/BA
2022-02-19T04:58:14.898Z,-44832,-20129,2.1,Divinopolis/MG
2022-02-16T20:16:49.627Z,-49295,-20442,2.3,Nova Granada/SP
2022-02-13T16:51:01.1Z,-44827,-20114,2.7,Divinopolis/MG
2022-02-08T13:38:41.865Z,-39298,-4528,2.0,Caninde/CE
2022-02-08T01:38:15.917Z,-44827,-20123,2.1,Divinopolis/MG
2022-02-07T00:30:49.253Z,-48542,-21221,2.0,Monte Alto/SP
2022-01-31T04:44:08.589Z,-39376,-13105,1.6,Laje/BA
2022-01-30T19:57:55.807Z,-40530,-11155,1.5,Jacobina/BA
2022-01-30T19:53:44.766Z,-40534,-11154,2.3,Jacobina/BA
2022-01-29T10:37:32.874Z,-40514,-11298,2.5,Jacobina/BA
2022-01-28T06:30:39.966Z,-44820,-20130,2.3,Divinopolis/MG
2022-01-28T05:57:38.446Z,-46817,-21489,2.0,Tapiratiba/SP
2022-01-27T06:07:02.856Z,-39706,-4160,1.6,Tejucuoca/CE
2022-01-27T03:25:26.149Z,-44837,-20142,2.4,Divinopolis/MG
2022-01-27T02:17:37.788Z,-39643,-4189,1.8,Tejucuoca/CE
2022-01-27T01:41:52.68Z,-61402,-9197,3.4,Machadinho d'Oeste/RO
2022-01-26T04:16:22.428Z,-37035,-10126,2.0,Canhoba/SE
2022-01-22T20:55:06.350Z,-38459,-3562,2.5,Plataforma Continental/CE
2022-01-22T15:30:54.237Z,-40198,-3974,2.4,Forquilha/CE
2022-01-20T08:06:00.531Z,-44824,-20122,2.2,Divinopolis/MG
2022-01-19T14:32:01.325Z,-44827,-20142,2.2,Divinopolis/MG
2022-01-19T13:54:40.979Z,-44810,-20122,2.5,Divinópolis/MG
2022-01-19T05:34:00.348Z,-44849,-20125,2.1,Divinopolis/MG
2022-01-19T04:57:21.605Z,-44830,-20129,1.9,Divinopolis/MG
2022-01-19T04:06:02.221Z,-44831,-20127,2.0,Divinopolis/MG
2022-01-19T00:36:41.519Z,-44818,-20149,2.4,Divinopolis/MG
2022-01-18T23:11:13.31Z,-44826,-20125,2.0,Divinopolis/MG
2022-01-18T20:29:26.637Z,-44817,-20129,2.2,Divinopolis/MG
2022-01-18T19:16:58.47Z,-44828,-20131,2.6,Divinopolis/MG
2022-01-18T15:36:24.110Z,-44827,-20138,2.4,Divinopolis/MG
2022-01-18T12:02:15.41Z,-44827,-20133,2.9,Divinopolis/MG
2022-01-17T18:27:12.566Z,-44844,-20127,2.1,Divinopolis/MG
2022-01-16T11:43:53.929Z,-44830,-20116,1.7,Divinopolis/MG
2022-01-16T07:24:51.936Z,-44833,-20126,1.6,Divinopolis/MG
2022-01-15T22:23:45.967Z,-44830,-20124,1.9,Divinopolis/MG
2022-01-15T13:26:51.899Z,-44825,-20129,1.9,Divinopolis/MG
2022-01-15T13:23:06.669Z,-44825,-20131,2.4,Divinopolis/MG
2022-01-15T11:38:36.728Z,-44843,-20133,2.1,Divinopolis/MG
2022-01-15T09:34:22.845Z,-44839,-20128,1.8,Divinopolis/MG
2022-01-15T07:45:57.0Z,-44815,-20116,2.4,Divinopolis/MG
2022-01-15T07:39:00.941Z,-44831,-20129,1.6,Divinopolis/MG
2022-01-15T06:32:08.758Z,-48532,-20971,2.0,Bebedouro/SP
2022-01-15T02:07:50.12Z,-44839,-20122,1.9,Divinopolis/MG
2022-01-14T21:04:19.0Z,-44835,-20153,2.2,Divinopolis/MG
2022-01-14T11:35:23.851Z,-44686,-19073,2.8,Curvelo/MG
2022-01-14T03:04:57.946Z,-44833,-20124,1.6,Divinopolis/MG
2022-01-14T02:52:38.853Z,-44835,-20127,2.0,Divinopolis/MG
2022-01-13T22:30:33.710Z,-44858,-20130,1.8,Divinopolis/MG
2022-01-13T18:32:07.841Z,-44831,-20132,2.9,Divinopolis/MG
2022-01-13T18:25:53.609Z,-44829,-20134,2.8,Divinopolis/MG
2022-01-12T03:48:49.498Z,-45683,-18756,2.8,Biquinhas/MG
2022-01-10T23:13:36.609Z,-44827,-20125,3.0,Divinopolis/MG
2021-12-30T08:18:00.0Z,-42351,-23738,2.8,Plataforma Continental/RJ
2021-12-24T16:12:03.204Z,-56790,-11590,2.0,Novo Horizonte do Norte/MT
2021-12-23T19:08:11.433Z,-50205,-27599,1.9,Palmeira/SC
2021-12-22T05:48:11.796Z,-40215,-5927,1.7,Taua/CE
2021-12-10T18:36:09.750Z,-40581,-3821,2.5,Carire/CE
2021-12-10T16:18:57.0Z,-49120,-20355,2.7,Icem/SP
2021-12-10T02:17:13.3Z,-39093,-17134,3.1,Plataforma Continental/BA
2021-12-09T02:06:20.0Z,-40483,-11222,1.3,Jacobina/BA
2021-12-08T18:54:21.471Z,-49364,-26703,2.3,Benedito Novo/SC
2021-12-07T15:19:14.598Z,-40911,-3676,2.7,Tiangua/CE
2021-12-07T14:57:58.129Z,-40725,-3535,2.1,Coreau/CE
2021-12-05T21:09:50.775Z,-40428,-11227,2.3,Jacobina/BA
2021-11-26T16:33:43.527Z,-56783,-11577,1.9,Novo Horizonte do Norte/MT
2021-11-25T15:09:34.31Z,-40529,-3805,2.5,Carire/CE
2021-11-13T06:53:14.642Z,-37303,-12654,2.1,Plataforma Continental/BA
2021-11-09T04:26:15.551Z,-59455,2610,3.7,Guyana
2021-11-05T06:09:38.368Z,-35544,-5040,2.3,Plataforma Continental/RN
2021-11-04T21:35:51.92Z,-39829,-9964,2.0,Uaua/BA
2021-11-04T06:42:17.0Z,-61405,1814,1.6,Caracarai/RR
2021-11-04T06:00:30.0Z,-61405,1814,1.6,Caracarai/RR
2021-11-04T04:57:35.0Z,-61405,1814,2.0,Caracarai/RR
2021-11-04T04:52:57.0Z,-61405,1814,3.0,Caracarai/RR
2021-11-04T04:27:29.0Z,-61405,1814,1.7,Caracarai/RR
2021-11-04T03:50:00.0Z,-61405,1814,1.8,Caracarai/RR
