ano,mês,dia,hora,min,latit,longit,ss.s,mag,estado,cidade,
1720,11,23,,,-13000,-38500,  0.0, 0.0,BA,SALVADOR,
1724,1,4,7,30,-13000,-38500,  0.0, 2.8,BA,SALVADOR,
1744,9,24,12,,-15300,-58000,  0.0, 2.8,MT,CUIABA,
1789,5,9,,,-25010,-47940,  0.0, 3.7,SP,CANANEIA,
1807,8,8,8,,-5700,-37700,  0.0, 4.8,RN,Assu,
1810,4,19,,,-3100,-40840,  0.0, 0.0,CE,GRANJA,
1811,,,20,,-30040,-51300,  0.0, 3.5,RS,PORTO ALEGRE,
1811,10,28,19,30,-8080,-34870,  0.0, 3.8,PE,RECIFE,
1815,6,,,,-12760,-38490,  0.0, 0.0,BA,CABOTO,
1824,,,,,-7590,-39280,  0.0, 0.0,CE,JARDIM,
1824,,,,,-21980,-44880,  0.0, 3.2,MG,CAXAMBU,
1826,,,,,-11710,-47770,  0.0, 2.6,GO,NATIVIDADE,
1832,,,,,-20820,-45720,  0.0, 3.5,MG,Guapeh,
1832,9,18,14,,-12400,-64400,  0.0, 0.0,RO,PR.DA BEIRA,
1834,,,,,-11710,-47770,  0.0, 2.6,GO,NATIVIDADE,
1839,7,15,23,,-21840,-45390,  0.0, 3.0,MG,CAMPANHA,
1840,,,,,-21030,-44750,  0.0, 3.0,MG,BOM SUCESSO,
1845,4,19,23,,-25520,-48510,  0.0, 0.0,PR,PARANAGUA,
1845,10,19,16,,-35100,-59800,  0.0, 3.5,AR,Saladillo Buenos_Aires,
1846,1,25,,,-3100,-40840,  0.0, 0.0,CE,GRANJA,
1848,8,9,18,35,-36300,-54800,  0.0, 5.0,UR,Uruguay,
1848,8,15,8,22,-36300,-54800,  0.0, 0.0,UR,Uruguay,
1848,8,17,23,45,-36300,-54800,  0.0, 0.0,UR,Uruguay,
1848,8,18,0,20,-36300,-54800,  0.0, 0.0,UR,Uruguay,
1848,9,11,8,13,-36300,-54800,  0.0, 0.0,UR,Uruguay,
1852,,,,,-3100,-40840,  0.0, 0.0,CE,GRANJA,
1852,12,2,13,30,-4560,-37760,  0.0, 3.0,CE,ARACATI,
1854,1,10,7,,-5200,-35460,  0.0, 3.7,RN,TOUROS,
1854,,,,,-3100,-40840,  0.0, 0.0,CE,GRANJA,
1855,,,,,-3100,-40840,  0.0, 0.0,CE,GRANJA,
1855,7,25,6,,-19950,-43480,  0.0, 3.5,MG,S.J.B. Morro Grande,
1859,,,,,-19160,-45450,  0.0, 0.0,MG,Abaeté, Dores Indaiá
1860,6,12,13,,-860,-48130,  0.0, 0.0,PA,Vigia,
1860,8,13,17,,-15700,-56200,  0.0, 4.0,MT,Cuiabá-Livramento,
1861,7,30,3,,-22200,-44950,  0.0, 0.0,MG,POUSO ALTO,
1861,7,31,1,,-23100,-45750,  0.0, 5.0,SP,Lorena,
1862,9,19,19,30,-19160,-45450,  0.0, 3.8,MG,Abaeté, Dores Indaiá
1863,4,8,23,45,-21950,-45500,  0.0, 3.9,MG,Campanha,
1863,5,28,10,30,-25510,-48520,  0.0, 3.0,PR,Paranaguá,
1864,4,8,,,-32500,-53100,  0.0, 0.0,RS,Jaguarão - Bretanhas,
1864,11,26,1,30,-2530,-44300,  0.0, 3.2,MA,São Luís,
1865,7,5,18,,-4360,-39310,  0.0, 3.8,CE,Canindé Baturité Quix.,
1867,,,,,-30100,-51200,  0.0, 0.0,RS,PORTO ALEGRE,
1867,8,,,,-20010,-47400,  0.0, 0.0,MG,JAGUARA,
1868,1,9,6,,-15600,-42500,  0.0, 3.0,MG,Rio Pardo,
1869,10,6,3,45,-34600,-58400,  0.0, 3.8,AR,Buenos Aires,
1871,4,5,1,30,-3400,-44350,  0.0, 3.7,MA,ITAPECURU-M.,
1871,6,14,,,-2530,-44300,  0.0, 0.0,MA,SAO LUIS,
1872,2,4,7,,-22700,-44300,  0.0, 0.0,SP,Bananal,
1872,11,11,23,,-18600,-43390,  0.0, 0.0,MG,SERRO,
1874,10,30,9,25,-23450,-47400,  0.0, 3.6,SP,Sorocaba S.Roque Itu,
1875,1,17,15,,-1000,-62900,  0.0, 0.0,AM,Barcelos,
1876,4,8,4,52,-34300,-58300,  0.0, 3.5,AR,Rio_la_Plata B.Aires,
1876,6,4,4,30,-22210,-45260,  0.0, 0.0,MG,Cristina,
1876,6,5,22,,-22210,-45260,  0.0, 0.0,MG,Cristina,
1876,6,26,21,30,-16570,-57820,  0.0, 3.0,MT,CAMBARA,
1879,3,1,,,-15600,-56100,  0.0, 3.5,MT,CUIABA,
1879,7,24,17,25,-6000,-35500,  0.0, 4.3,RN,NATAL,
1879,10,9,21,30,-19590,-46940,  0.0, 3.4,MG,Araxá,
1879,10,14,7,,-1460,-61640,  0.0, 3.5,AM,Moura,
1881,2,17,9,,-4080,-63140,  0.0, 3.2,AM,Coari,
1881,6,20,21,,-22470,-44440,  0.0, 0.0,RJ,Resende,
1882,5,1,23,,-3400,-44350,  0.0, 3.2,MA,Itapecuru-mirim,
1882,5,13,23,,-2530,-44300,  0.0, 0.0,MA,São Luis,
1882,10,21,4,44,-21790,-46580,  0.0, 3.0,MG,Poços de Caldas,
1883,2,23,0,30,-21860,-42670,  0.0, 3.0,MG,Além Paraiba,
1883,3,17,20,30,-27820,-54670,  0.0, 3.5,RS,Santo Cristo,
1883,8,27,17,,-2010,-54100,  0.0, 0.0,PA,MONTE_ALEGRE,
1883,10,7,11,,-25510,-48520,  0.0, 0.0,PR,Paranaguá,
1883,,,,,-3130,-60020,  0.0, 0.0,AM,Manaus,
1884,5,26,22,30,-2000,-54070,  0.0, 3.5,PA,Monte Alegre,
