#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
usp2022duyv|2022-02-24T03:52:54.897074|-58.978580|-30.198189|10.0|cleusa||USP|usp2022duyv|mb|5.151763211|scmag@seisMaster|South Sandwich Islands Region
usp2022dumm|2022-02-23T21:38:02.396798|5.261890|-82.633560|10.0|cleusa||USP|usp2022dumm|mb|4.721393252|cleusa|South of Panama
usp2022dtvb|2022-02-23T12:49:36.805754|7.421193|-74.414261|121.0|cleusa||USP|usp2022dtvb|mb|5.226449487|cleusa|Northern Colombia
usp2022dsqg|2022-02-22T21:15:59.069704|-25.854807|-70.257187|10.0|cleusa||USP|usp2022dsqg|mb|4.595762226|cleusa|Near Coast of Northern Chile
usp2022drvk|2022-02-22T10:44:08.755986|-16.183365|-173.968063|159.0|cleusa||USP|usp2022drvk|mb|5.144450584|cleusa|Tonga Islands
usp2022drmk|2022-02-22T06:12:49.012318|-22.664576|-66.340363|231.0|cleusa||USP|usp2022drmk|mB|6.081282343|cleusa|Jujuy Province, Argentina
usp2022dreg|2022-02-22T02:03:37.591489|-14.026169|-50.053726|0.0|jroberto||USP|usp2022dreg|mR|2.751885417|jroberto|Nova Crixas/GO
usp2022dqyz|2022-02-21T23:24:12.434241|-69.781494|164.707092|10.0|cleusa||USP|usp2022dqyz|mB|6.32338708|cleusa|Balleny Islands Region
usp2022dqtz|2022-02-21T20:52:32.028244|26.885447|126.376778|10.0|cleusa||USP|usp2022dqtz|mB|5.70950292|cleusa|Ryukyu Islands, Japan
usp2022dqdp|2022-02-21T12:35:56.70047|-8.263087|120.875794|10.0|cleusa||USP|usp2022dqdp|mb|5.252318731|cleusa|Flores Region, Indonesia
usp2022dpgp|2022-02-21T00:58:53.148986|2.186443|-84.051102|10.0|cleusa||USP|usp2022dpgp|mb|4.650680835|cleusa|Off Coast of Central America
usp2022dpdm|2022-02-20T23:24:29.359104|-18.494183|-71.427765|46.21216202|cleusa||USP|usp2022dpdm|mb|4.269503981|cleusa|Off Coast of Northern Chile
usp2022doze|2022-02-20T21:13:24.072088|6.005536|126.787582|61.0|cleusa||USP|usp2022doze|mB|4.994747462|cleusa|Mindanao, Philippines
usp2022dott|2022-02-20T18:29:28.094623|5.951584|126.409195|73.0|cleusa||USP|usp2022dott|mb|5.374153706|cleusa|Mindanao, Philippines
usp2022donc|2022-02-20T15:07:35.56386|-20.327616|-47.657310|0.0|jroberto||USP|usp2022donc|mR|2.137482639|jroberto|Jeriquara/SP
usp2022dogv|2022-02-20T11:58:20.823802|-18.435539|-71.253677|30.0|cleusa||USP|usp2022dogv|mb|5.118888424|cleusa|Off Coast of Northern Chile
usp2022dogm|2022-02-20T11:47:07.995982|55.302990|-157.648392|26.0|cleusa||USP|usp2022dogm|mb|5.506717133|cleusa|Alaska Peninsula
usp2022dnzv|2022-02-20T08:25:19.543536|-10.635448|-50.080067|0.0|jroberto||USP|usp2022dnzv|mR|3.20174031|jroberto|Santa Terezinha/MT
